Deck Name,Total Price,Card Name,Card Quantity,Card Price
Jund,1768.57,Alpine Moon,2,16.0
Jund,1768.57,Nihil Spellbomb,2,1.04
Jund,1768.57,Collective Brutality,2,8.7
Jund,1768.57,Boil,1,2.11
Jund,1768.57,Force of Vigor,2,51.92
Yawgmoth,856.95,Dryad Arbor,1,3.0
Yawgmoth,856.95,Birds of Paradise,4,47.32
Yawgmoth,856.95,Ignoble Hierarch,4,22.76
Yawgmoth,856.95,Young Wolf,4,3.36
Yawgmoth,856.95,Strangleroot Geist,4,2.0
Yawgmoth,856.95,Wall of Roots,4,1.72
Yawgmoth,856.95,Zulaport Cutthroat,1,1.27
Yawgmoth,856.95,Augur of Autumn,1,7.18
Yawgmoth,856.95,Endurance,1,36.47
Yawgmoth,856.95,Geralf's Messenger,1,12.93
Yawgmoth,856.95,"Yawgmoth, Thran Physician",4,139.96
Yawgmoth,856.95,"Grist, the Hunger Tide",3,18.69
Yawgmoth,856.95,Chord of Calling,4,25.96
Yawgmoth,856.95,Eldritch Evolution,4,28.6
Yawgmoth,856.95,Blooming Marsh,3,21.24
Yawgmoth,856.95,Forest,2,0.0
Yawgmoth,856.95,Misty Rainforest,2,60.0
Yawgmoth,856.95,Nurturing Peatland,2,21.76
Yawgmoth,856.95,Overgrown Tomb,2,27.76
Yawgmoth,856.95,Stomping Ground,1,10.38
Yawgmoth,856.95,Swamp,1,0.0
Yawgmoth,856.95,Twilight Mire,1,12.83
Yawgmoth,856.95,"Urborg, Tomb of Yawgmoth",1,30.9
Yawgmoth,856.95,Verdant Catacombs,4,101.52
Yawgmoth,856.95,"Yavimaya, Cradle of Growth",1,11.99
Yawgmoth,856.95,Thoughtseize,3,44.91
Yawgmoth,856.95,Outland Liberator,1,0.42
Yawgmoth,856.95,Scavenging Ooze,1,0.99
Yawgmoth,856.95,Endurance,2,72.94
Yawgmoth,856.95,Magus of the Moon,1,4.4
Yawgmoth,856.95,Necromentia,2,1.0
Yawgmoth,856.95,Force of Vigor,2,51.92
Yawgmoth,856.95,Obstinate Baloth,1,0.85
Yawgmoth,856.95,Crime // Punishment,2,29.92
4c Living End,872.37,Brazen Borrower,2,24.0
4c Living End,872.37,Shardless Agent,4,2.92
4c Living End,872.37,Architects of Will,4,2.0
4c Living End,872.37,Curator of Mysteries,4,1.2
4c Living End,872.37,Grief,4,58.04
4c Living End,872.37,Street Wraith,4,8.04
4c Living End,872.37,Striped Riverwinder,4,1.92
4c Living End,872.37,Waker of Waves,4,1.32
4c Living End,872.37,Living End,3,16.41
4c Living End,872.37,Force of Negation,4,298.56
4c Living End,872.37,Violent Outburst,4,22.8
4c Living End,872.37,Botanical Sanctum,3,17.91
4c Living End,872.37,Breeding Pool,2,43.86
4c Living End,872.37,Forest,1,0.0
4c Living End,872.37,Island,1,0.0
4c Living End,872.37,Misty Rainforest,4,120.0
4c Living End,872.37,Scalding Tarn,2,66.22
4c Living End,872.37,Spirebluff Canal,3,46.32
4c Living End,872.37,Steam Vents,2,30.54
4c Living End,872.37,Sunken Ruins,1,17.78
4c Living End,872.37,Endurance,1,36.47
4c Living End,872.37,Faerie Macabre,3,2.61
4c Living End,872.37,Mystical Dispute,2,2.1
4c Living End,872.37,Force of Vigor,1,25.96
4c Living End,872.37,Foundation Breaker,2,0.98
4c Living End,872.37,Leyline of Sanctity,3,11.97
4c Living End,872.37,Subtlety,2,12.18
4c Living End,872.37,Ingot Chewer,1,0.26
Azorius Control,1287.51,"Kaheera, the Orphanguard",1,1.33
Azorius Control,1287.51,Solitude,4,220.0
Azorius Control,1287.51,"Teferi, Time Raveler",4,75.6
Azorius Control,1287.51,"Teferi, Hero of Dominaria",3,78.48
Azorius Control,1287.51,Prismatic Ending,4,14.84
Azorius Control,1287.51,Counterspell,4,6.04
Azorius Control,1287.51,Dovin's Veto,1,3.09
Azorius Control,1287.51,Archmage's Charm,4,64.56
Azorius Control,1287.51,Memory Deluge,3,17.82
Azorius Control,1287.51,Supreme Verdict,3,23.43
Azorius Control,1287.51,Chalice of the Void,1,68.0
Azorius Control,1287.51,Spreading Seas,4,20.92
Azorius Control,1287.51,Breeding Pool,1,21.93
Azorius Control,1287.51,Castle Vantress,3,6.36
Azorius Control,1287.51,Celestial Colonnade,1,4.4
Azorius Control,1287.51,Flooded Strand,4,161.28
Azorius Control,1287.51,Hall of Storm Giants,1,4.19
Azorius Control,1287.51,Hallowed Fountain,2,17.9
Azorius Control,1287.51,Island,3,0.0
Azorius Control,1287.51,Misty Rainforest,2,60.0
Azorius Control,1287.51,Mystic Gate,4,122.48
Azorius Control,1287.51,Plains,2,0.0
Azorius Control,1287.51,Polluted Delta,1,48.95
Azorius Control,1287.51,Raugrin Triome,1,12.58
Azorius Control,1287.51,Chalice of the Void,1,68.0
Azorius Control,1287.51,Dovin's Veto,2,6.18
Azorius Control,1287.51,Dress Down,2,5.32
Azorius Control,1287.51,Rest in Peace,2,12.9
Azorius Control,1287.51,Supreme Verdict,1,7.81
Azorius Control,1287.51,Shark Typhoon,4,42.48
Azorius Control,1287.51,"Emrakul, the Promised End",1,43.74
Azorius Control,1287.51,"Emrakul, the Aeons Torn",1,46.9
Amulet Titan,917.78,Arboreal Grazer,4,1.4
Amulet Titan,917.78,"Azusa, Lost but Seeking",1,7.98
Amulet Titan,917.78,Dryad of the Ilysian Grove,4,60.0
Amulet Titan,917.78,Primeval Titan,4,25.96
Amulet Titan,917.78,"Karn, the Great Creator",4,44.0
Amulet Titan,917.78,Summoner's Pact,4,15.16
Amulet Titan,917.78,Explore,3,0.9
Amulet Titan,917.78,Amulet of Vigor,4,90.68
Amulet Titan,917.78,Expedition Map,1,1.97
Amulet Titan,917.78,Breeding Pool,1,21.93
Amulet Titan,917.78,Castle Garenbrig,2,10.94
Amulet Titan,917.78,Cavern of Souls,2,170.48
Amulet Titan,917.78,Forest,4,0.0
Amulet Titan,917.78,Gruul Turf,4,1.2
Amulet Titan,917.78,Hanweir Battlements,1,3.12
Amulet Titan,917.78,Lair of the Hydra,1,2.0
Amulet Titan,917.78,Radiant Fountain,1,0.25
Amulet Titan,917.78,Simic Growth Chamber,4,1.04
Amulet Titan,917.78,Tolaria West,2,4.98
Amulet Titan,917.78,Urza's Saga,4,177.56
